Genes (Variables) ,Aged ,APP ,DAM 1,DAM 2,MgnD,Microglía AQP4 CC neonatal,Microglía AQP4 AC neonatal,WAM,LDAM,CD11c,PAM,ATM
Grn,0.0482793829759235,0.0400078624308682,0.108151796093369,0.128097574129666,0.193469724293074,0.177191437674246,0.108224210138476,,0.0328578517401289,0.101817983671455,0.256265540833178,0
C1qc,0.0115173278824282,-0.049586700182508,0.0407214130381815,-0.0479118742622008,0.0548504712107762,0.1761727088476,0.139592603053367,,0.0179262022555496,0.0420631267938498,0,0
Plin2,0,0,0.0822317909702297,0.35232126438267,0.283580268715987,0.178831477446196,0.0661532648337595,,0.0763836832671059,0.236899455586012,0.362832826741265,0.261773855702399
C4b,0.361966063898713,-0.0508297879587816,-0.22373708257652,0,0.18276891724472,0.196916918211527,0.0500847394760952,,-0.0792001226417979,0.230722467934867,0,0
Laptm5,-0.0644986767248519,-0.0429434031098995,-0.0294052311809167,-0.0253310390073545,0.0848707769694133,0.185346771442275,0.0917546325807091,,-0.00878174789659446,-0.00486833331183058,0,-0.141634720652373
Folr2,-0.0078367610088321,-0.058052633017641,0.502171000665731,0.223007345074315,0.607225804903114,0.219757915475962,0.119831045321083,,-0.51308680095816,0.483544568439585,0.176276071485557,0.216924058914182
Ctsc,-0.0220290450643126,-0.0026347058408596,0.139830737220789,-0.00469674256587369,0.0342570711490607,0.194144697108568,0.155494991292305,,0.00343969264474973,0.12442000574151,0,0
Npl,-0.0789751155656431,-0.0286519936367892,-0.33738875989859,-0.181408509983321,0.0400306820585339,0.15931130842024,0.013598564151644,,0.233492425741594,0.1254155821543,0.201188396904348,0.186880430543365
Selenop,0,0,0,0,0,0.197238254015413,0.0852571018043714,,0,0,0,0
Fcrls,0,0,0.0109281708808911,0.0407003825668689,0.0914562851193934,0.177922769677617,0.19148856776609,0.41635285520089,0.0562939114294469,0.0196015211908877,0.177470305917083,0
Spi1,0,0,0,0,0,0.15243132077264,0.035971651946419,,0.0238576605025629,0.0150687855751698,0,0
Cd84,0.0712748900455474,0.110010279241535,0.00787707672710517,0.105798136972926,0.0704404590149321,0.276397605292759,0.114017908208814,,0.000478487778182733,0.0870172482189365,0,0
Hexa,-0.0324886127434683,0.118359846240404,0.174485382862139,0.17097910231977,0.261677539908707,0.163392223959974,0.105830955657414,,0.061169659478294,0.080161756233729,0.229077127536794,0
